character, cue, inflection, node name, implemented, recorded
"Player", "I'll do the rambunctious dog", "", "p_rambunctious", "TRUE", "FALSE"
"Player", "just a hot dog", "", "p_hot_dog", "TRUE", "FALSE"
"Pat", "sure, what kind?", "", "pa_sure_what_kind", "TRUE", "FALSE"
"Player", "how about the classic dog", "", "p_classic", "TRUE", "FALSE"
"Player", "ill do the 'hawt' dog", "", "p_hawt", "TRUE", "FALSE"
"Player", "i dont know man just a regular hot dog", "", "p_i_dont_know", "TRUE", "FALSE"
"Pat", "cool, have a day, dude", "", "pa_good_one", "TRUE", "FALSE"
"Player", "how bout some fries", "", "p_fries", "TRUE", "FALSE"
"Pat", "yep, what kind", "", "pa_yep_what_kind", "TRUE", "FALSE"
"Player", "lets do a smol fry", "", "p_lets_do_smol", "TRUE", "FALSE"
"Player", "sure, just a small fries", "", "p_small", "TRUE", "FALSE"
"Pat", "here y'are", "", "pa_here", "TRUE", "FALSE"
"Pat", "a small fries, cool", "", "pa_small", "TRUE", "FALSE"
"Player", "lets do the big hoss", "", "p_loaded", "TRUE", "FALSE"
"Pat", "rip big h, you were a real one", "", "pa_big_h", "TRUE", "FALSE"
"Pat", "one burger", "", "pa_one_burger", "TRUE", "FALSE"
"Player", "just a steamed ham, please", "", "p_steamed_ham", "TRUE", "FALSE"
"Pat", "sup man, what can I get you", "", "pa_sup", "TRUE", "FALSE"
"Pat", "more? really dude?", "", "pa_more_really", "TRUE", "FALSE"
"Pat", "oh, uhh... hey again. need something else?", "", "pa_oh_hey_again", "TRUE", "FALSE"
"Player", "actually I'm good, thanks", "", "p_actually_im", "TRUE", "FALSE"
"Pat", "uhh... okay? goodbye then?", "", "pa_uh", "TRUE", "FALSE"
"Pat", "gotcha", "", "pa_gotcha", "TRUE", "FALSE"
"Pat", "i feel you, man. we'll just do a classic for today", "", "pa_i_feel", "TRUE", "FALSE"
"Pat", "anything else man?", "", "pa_anything_else", "TRUE", "FALSE"
"Pat", "k, what else?", "", "pa_what_else", "TRUE", "FALSE"
"Player", "yes", "", "p_yes", "TRUE", "FALSE"
"Player", "no", "", "p_no", "TRUE", "FALSE"
"Pat", "aight, if the total looks fine, go ahead and swipe", "", "pa_aight", "TRUE", "FALSE"
"Pat", "then just tap any option at all, no obligation, and sign your name below.", "", "pa_tap", "TRUE", "FALSE"
